488,4,VICTOR HUGO,4,GAP
489,17,ST JULIEN,0,SAINT-BONNET-EN-CHAMPSAUR
490,16,BARTHELON,12,EMBRUN
491,2,JEAN EYMAR,0,GAP
492,5316,ENTRE LA VIA,8,NEVACHE
493,5732,LES ILES,8,LA SALLE
494,5162,LES ISSARTS,18,LE DEVOLUY
495,2,PASTEUR,0,BRIANCON
496,44,DE GRAFFINEL,3,GAP
497,5359,MERLETTE,8,ORCIERES
498,5381,MERLETTE,8,ORCIERES
499,5809,LE ROCHAS,8,LE MONETIER-LES-BAINS
500,5141,LE BOIS D AUROUZE,8,LE DEVOLUY
501,44,DE LA TOUR,0,LA BATIE NEUVE
502,5398,SUPER DEVOLUY,8,LE DEVOLUY
503,5316,MERLETTE,8,ORCIERES
504,30,DE VALSERRES,0,GAP
505,5095,LA GRANDE SAGNE,8,LE DEVOLUY
506,33,JEAN JAURES,0,VEYNES
507,5216,FONTAINEBLEAU,8,SERRES
508,5398,SUPER DEVOLUY,8,LE DEVOLUY
509,5041,GEN ALBERT,12,GUILLESTRE
510,5336,MERLETTE,8,ORCIERES
511,5293,LA TARTARASSE,8,PUY SAINT VINCENT
512,5830,BOIS DE LA BLACHE,8,CHORGES
513,5000,LA JOUE DU LOUP,8,LE DEVOLUY
514,5277,PRE LALLEGRE,8,LES ORRES
515,5141,LE BOIS D AUROUZE,8,LE DEVOLUY
516,9001,DES MARRONNIERS,0,GAP
517,9007,DES EYGUIERES,0,CHORGES
518,9006,PRE LAGRANGE,10,SAINT-BONNET-EN-CHAMPSAUR
519,5496,LES EYSSARDS DE PELVOUX,8,VALLOUISE-PELVOUX
520,5212,SAINT FERREOL,8,SAVINES-LE-LAC
521,5100,LE CHEF LIEU,8,MONTGENEVRE
522,51,LES JARDINS DU MORGON,7,SAVINES-LE-LAC
523,5141,LE BOIS D AUROUZE,8,LE DEVOLUY
524,5220,LA JOUE DU LOUP,8,LE DEVOLUY
525,5324,LES ESCOUNDUS,8,VARS
526,5139,CANARD,8,LAYE
527,5141,LE BOIS D AUROUZE,8,LE DEVOLUY
528,9190,ALBERT BOURGES,2,BRIANCON
529,5076,LES UBACS,8,PUY SAINT VINCENT
530,5271,CLOT PEOUILLOUX,8,PUY SAINT VINCENT
531,5162,LE CHATEAU,8,PUY-SANIERES
532,5979,DE LA LIBERTE,0,EMBRUN
533,5170,PRE LONGIS,8,LES ORRES
534,5165,PRE DES LAGIERS,8,LES ORRES
535,25,PASTEUR,0,BRIANCON
536,5240,LES CHALPS,8,RISOUL
537,5644,PELINCHE,8,RISOUL
538,6051,SERRE SERRET,8,LE DEVOLUY
539,1,EMILE ZOLA,4,GAP
